LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,default.payment.next.month
2.00E+05,2,1,1,38,-2,-2,-2,-2,-2,-3,687,2740,2044,1614,690,2753,2054,1622,2076,0
1.00E+05,2,2,2,24,0,0,0,0,0,101887,102069,100657,101565,101116,4902,4507,3936,3982,4135,0
150000,2,2,1,47,0,0,0,0,0,153404,144960,148146,142279,139905,6900,7200,5450,5265,5443,0
50000,1,3,2,28,0,0,0,0,0,46709,12889,50199,74405,38772,1690,38000,1500,4000,2000,0
60000,1,2,2,29,0,0,0,0,0,34081,23215,30340,28368,28962,2000,8565,969,1004,1000,0
70000,2,2,2,30,0,0,0,2,0,10149,11454,9638,8761,8572,2000,2000,0,1000,1000,0
20000,1,2,2,23,-1,0,-1,0,0,5044,3700,13181,12596,11699,1011,13181,5,1033,1781,0
50000,2,2,2,25,0,0,0,0,0,24408,25169,13368,14142,14911,1300,1500,1000,1000,1000,0
5.00E+05,2,1,1,33,2,2,-1,-1,-2,1569,1379,1800,0,0,0,1800,0,0,4012,0
390000,1,3,1,49,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,5112,0
90000,2,1,2,27,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
10000,1,2,2,22,0,0,0,-1,-1,5748,3203,2162,2150,-440,1189,1025,3028,0,1000,0
30000,1,2,2,24,-1,-1,-1,0,0,390,390,780,780,0,390,780,0,0,0,1
240000,1,3,1,35,1,-2,-2,-1,-1,-2,-2,-2,968,-2,0,0,970,0,0,1
180000,2,1,2,29,-1,0,0,0,0,36567,26613,26941,27705,21955,1682,1400,1554,0,0,0
70000,2,2,2,23,0,0,0,0,0,22658,31647,24487,25125,26651,9397,1487,1039,2073,1045,0
50000,1,2,2,26,-1,-1,-1,-1,-1,1530,750,1140,1530,750,750,1140,1530,750,1140,0
20000,1,3,1,46,0,0,0,0,0,11325,12654,13659,13635,13922,1519,1524,500,507,1000,0
260000,2,2,1,36,0,0,0,0,0,200593,206178,208601,213025,214931,8500,7000,7508,7500,7595,1
160000,1,2,1,26,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1
250000,2,1,1,42,0,0,-2,-2,-2,25298,0,0,0,0,0,0,0,0,0,0
20000,1,1,1,49,-1,-1,-1,-1,-2,1044,0,5596,0,0,0,5596,0,0,0,0
210000,1,3,1,37,-1,-1,-1,-1,-1,2359,1519,1939,1939,1939,1519,1939,1939,1939,1520,0
1.00E+05,2,1,1,35,2,0,0,2,2,47253,49489,53034,53568,54563,3000,5000,2000,2000,2500,1
1.00E+05,1,1,2,28,0,0,0,0,0,72970,100360,91329,76840,77455,30000,4094,2900,2850,3300,0
230000,2,2,1,34,-2,-2,-2,-2,-2,2329,1894,2528,1865,1496,1894,2532,1865,1496,1873,0
20000,1,2,2,25,0,0,0,0,0,13896,12906,13983,10983,5400,2000,2500,2000,0,0,1
40000,1,1,2,24,0,0,0,0,0,30096,30819,13816,10291,7441,1300,2013,319,415,266,1
1.00E+05,1,3,1,51,-1,-1,-1,0,0,54530,37295,96251,36221,36424,55000,100044,2000,2000,2000,0
20000,1,3,2,26,0,0,0,0,0,16514,17547,18541,19250,19805,1306,1300,1000,1000,1258,0
140000,1,2,2,32,0,0,0,0,0,31367,29652,30178,20989,17125,1614,10018,2009,1003,1017,0
50000,1,3,2,23,2,2,2,0,0,44470,51192,48506,18524,19239,7800,173,1000,1000,1000,0
30000,2,2,2,26,0,0,-1,0,0,17341,-1030,29718,27417,28489,485,31509,1500,1502,1500,0
80000,1,2,2,28,0,0,0,-2,-2,15268,5135,0,0,0,1315,0,0,0,0,0
20000,2,3,1,31,0,0,0,0,0,15654,16425,17265,16647,12213,1330,1170,500,420,397,1
210000,2,1,2,26,0,0,0,0,-1,9899,6000,4100,0,10790,1008,1000,0,10790,7373,0
220000,2,1,0,33,-1,-1,-1,-1,-1,3378,1531,942,608,1738,1531,942,608,1738,277,0
150000,2,1,1,30,0,0,0,0,0,40046,47317,48849,35920,37433,7995,5849,1196,2000,1000,0
2.00E+05,1,1,2,28,-1,-1,-1,-1,-1,508,10680,1190,527,4524,10712,1194,527,4537,5538,0
2.00E+05,2,1,2,28,2,2,2,2,0,68398,73564,73548,44234,42599,6900,1966,12,1604,5164,1
50000,1,2,2,39,0,0,0,0,0,26813,22999,17485,10588,8368,1708,1454,289,1508,1042,0
80000,2,1,2,28,0,0,0,0,2,9782,11620,14415,16177,16582,2001,3000,2000,800,0,0
310000,2,1,2,32,-2,-2,-2,-2,-2,20138,8267,65993,8543,1695,8267,66008,8543,1695,750,1
210000,1,1,2,29,0,0,0,0,2,140619,144410,148555,156733,153230,7000,9000,11550,0,5389,0
140000,1,1,1,40,2,0,0,2,2,136785,137175,140773,133147,140350,5051,12602,0,12000,0,1
20000,2,2,1,32,0,0,0,0,0,15498,16409,17291,17588,18034,1600,1600,1000,1000,1500,0
10000,2,1,2,23,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
250000,2,1,2,30,0,-1,2,0,0,5607,9416,3421,11521,20424,10000,0,10000,10000,17771,0
280000,1,1,2,31,1,-1,-1,0,0,0,3495,2783,2001,-339,3495,2783,0,0,0,0
210000,1,2,1,48,-1,-1,-1,0,-1,8666,8666,17307,8666,8666,8666,17307,173,8666,17303,0
10000,1,2,2,54,0,0,2,2,0,5186,8225,8244,7963,8134,3300,300,0,299,2000,0
60000,2,3,1,59,0,0,0,0,-1,59174,60922,61800,0,51301,3298,3000,0,51301,2029,0
180000,2,1,2,38,0,0,-2,-2,-2,184650,0,0,0,0,0,0,0,0,0,0
10000,2,1,2,31,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
2.00E+05,2,1,1,41,-2,-1,2,0,-1,0,5932,5674,1484,4680,5932,0,0,4680,0,0
120000,2,1,2,29,-1,-1,-1,-2,-1,1171,644,-155,-155,745,1000,0,0,2530,542,0
160000,2,2,1,28,0,0,0,0,0,54232,55456,56625,57757,59424,2100,2100,2500,3000,2200,0
180000,1,1,1,48,0,0,0,0,0,167140,160707,162477,166861,171083,8000,6000,7000,7000,7000,0
60000,2,3,1,42,0,0,0,0,0,58186,58364,59108,38827,39670,2382,2373,1324,1402,1460,0
80000,1,2,1,27,0,0,0,0,0,73000,71338,47202,38133,39096,5000,2000,1500,1500,2000,0
2.00E+05,1,1,2,27,-1,0,-1,-1,-1,9747,17230,198,875,1977,10051,198,877,1982,2058,0
20000,2,3,2,22,1,2,0,0,2,18590,17838,18680,19788,22265,0,1307,1580,3100,0,1
360000,2,2,2,31,0,0,-2,-2,-2,17582,0,0,0,0,0,0,0,0,0,0
140000,2,1,2,43,1,2,0,0,0,147560,142435,142096,136836,139417,3,5000,5000,5100,10200,0
110000,2,3,1,46,0,0,2,2,0,94025,101460,102724,100188,102110,8942,3800,0,3685,6580,1
360000,2,1,1,33,1,-2,-2,-1,0,-200,-200,0,13467,17800,0,200,13467,5300,0,0
30000,2,1,2,22,-1,-1,-1,0,0,3963,6222,2936,588,0,6222,2936,0,0,0,0
1.00E+05,1,2,2,25,0,0,0,0,-2,76222,79564,49000,-1000,0,4700,1500,0,31000,0,0
60000,1,3,2,34,0,0,0,0,0,35187,36236,37220,37963,38875,1616,1600,1336,1500,1448,1
130000,2,1,2,32,1,-2,-1,-1,-2,0,0,3726,0,0,0,3726,0,0,1300,0
240000,2,2,2,34,-1,-1,-1,-1,-1,5516,4950,5232,6464,3820,4950,5232,6464,3820,10000,0
210000,2,2,1,35,2,2,2,0,0,61189,62721,61115,62334,66196,3100,0,2235,4870,0,1
360000,1,1,2,25,-1,-1,-1,0,0,586,14074,5672,5084,3317,14076,5672,0,0,1646,0
30000,2,2,2,22,1,2,2,0,0,22167,22474,18180,15900,0,1000,150,0,0,0,0
480000,1,1,1,49,1,-1,-1,-1,-1,-220,38929,339176,33146,37337,39149,344261,33312,37511,31383,0
90000,2,6,2,49,-1,-1,-2,-2,-2,1722,0,0,0,0,0,0,0,0,0,0
50000,2,1,1,42,0,0,0,0,0,4908,7479,11902,13871,19466,3000,5000,5000,7000,3000,0
20000,1,3,2,41,0,0,0,0,0,9186,9459,10102,10452,10907,1200,1200,500,1000,600,0
160000,2,2,2,27,-2,-2,-1,-1,-1,490,-85,5215,4115,3921,3085,5300,1000,22200,2000,0
90000,2,2,2,24,0,0,0,0,0,14520,14747,4753,5152,4664,1240,1220,1000,500,800,0
3.00E+05,2,5,1,34,-2,-2,-2,-2,-2,9474,0,0,0,0,0,0,0,0,0,0
5.00E+05,1,1,1,43,-1,-1,-1,-1,-1,640,600,1490,1822,1740,600,1490,1822,1740,0,0
130000,2,3,2,36,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1
250000,1,3,1,62,0,0,0,0,0,38924,38468,35930,40106,38214,5000,5000,5000,3000,2000,0
10000,1,3,2,25,2,0,0,0,0,4693,5371,6327,6055,0,1300,1600,400,0,0,1
340000,1,1,2,30,0,0,-1,-1,-1,1933,2855,872,981,22936,1000,872,981,22936,5000,0
60000,1,3,2,24,-1,0,0,0,0,15527,16882,18190,27465,27643,2000,2000,10000,991,1010,0
50000,1,2,1,47,0,0,0,0,0,48308,48019,48647,26894,10875,2200,2068,3048,418,12004,0
170000,1,2,2,34,-1,-1,2,0,-1,7885,7190,6854,3142,5000,2336,0,0,5000,0,0
490000,1,3,1,51,-1,-1,-1,-1,-1,389,376,467,78,399,377,481,1,711,1,1
20000,2,2,1,26,0,0,0,0,2,17679,16720,17705,19228,18804,1300,1277,1800,0,1000,1
550000,1,2,1,47,0,0,0,0,0,68328,76797,55200,30000,0,10000,20000,5000,0,0,0
340000,2,2,2,39,0,0,0,0,0,66623,61474,57160,58794,61231,2500,2500,2500,3300,2200,0
10000,1,2,2,32,0,0,0,0,0,9576,9028,9644,9790,9990,1384,1000,196,200,0,0
230000,2,2,2,25,-2,-2,-2,-2,-2,0,0,13499,9078,11009,0,13499,9117,11009,6172,0
30000,1,2,1,39,1,2,0,0,0,29388,27850,28525,29091,28923,0,1452,1018,1038,1100,0
2.00E+05,2,2,2,42,-1,-1,0,0,-2,73032,12928,88930,30000,67861,12928,79365,30000,37861,18929,0
450000,2,1,1,37,0,0,-1,-1,-1,13371,13480,5747,3339,9458,4000,5747,3339,18916,7231,0
380000,1,3,1,44,0,0,0,0,0,329877,309781,295550,277650,264217,12055,9837,9154,9042,8515,1
50000,2,2,1,31,2,0,0,0,0,29767,30206,27905,17174,17533,1615,1670,605,626,654,1
80000,2,1,2,27,0,0,0,0,0,23107,24674,25351,25981,26464,5034,10000,1000,1000,1000,0
150000,2,2,1,42,1,-2,-2,-1,-1,0,0,0,11068,0,0,0,11068,0,189,1
50000,2,2,2,44,0,0,0,0,-1,49006,49139,47608,3990,390,2000,1000,3600,390,0,0
210000,2,1,2,39,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
1.00E+05,2,2,2,24,0,0,0,0,0,59712,61743,63714,65056,73062,3000,3000,2400,9100,0,0
1.00E+05,1,2,2,38,0,0,0,0,0,25994,27173,44285,45433,3952,1994,19462,3000,302,3723,0
5.00E+05,1,1,1,45,0,0,0,0,0,3136,2345,8471,7234,5828,2002,7505,145,33,1150,0
30000,2,3,1,58,0,0,0,0,0,9819,10873,9646,9995,10371,1230,1100,419,600,500,0
50000,1,2,2,46,0,-1,0,0,0,53541,29308,20274,19945,20472,31483,1408,3000,1000,869,0
50000,2,2,2,23,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
420000,2,2,1,36,-1,-1,-1,-1,-1,3663,4338,3400,2535,3216,4338,3400,2535,3216,2652,0
30000,2,2,1,32,2,2,0,0,0,28156,27422,28335,20946,15525,0,1542,1024,1000,7422,1
240000,1,1,2,32,0,0,0,0,0,240790,224497,213580,191771,166239,6892,7866,5602,6118,6023,0
80000,2,3,1,55,0,0,0,0,0,69116,64325,59653,55159,56277,2500,2000,2000,2000,2000,0
330000,1,1,2,45,0,0,0,0,0,265362,246735,248541,231534,230309,7500,8001,7000,7000,8000,1
50000,1,2,1,30,1,2,2,0,0,49371,50092,49029,25313,26006,1800,240,1000,1100,1800,1
2.00E+05,2,1,1,42,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1
210000,2,1,1,34,1,-2,-1,-1,2,-300,-716,416,1132,566,0,1548,1132,0,416,0
130000,1,2,2,31,1,2,2,2,0,70722,69040,70912,63626,59200,0,4130,43,2000,1368,0
390000,1,1,2,28,-1,0,0,0,0,10439,25143,35165,44543,45631,15007,10529,10000,1773,2000,0
1.00E+05,1,3,1,40,0,0,-1,-1,-2,12878,7702,2377,0,0,2000,2377,40000,0,0,0
140000,2,1,1,33,0,0,0,0,0,85314,87042,90165,91318,94847,4000,5000,2000,4000,5000,0
80000,2,3,1,35,2,2,2,2,2,70002,71389,73788,74463,72834,3100,4204,2790,0,3043,1
50000,2,3,1,42,1,3,4,3,2,44498,46740,45718,44696,43848,3240,0,0,0,1600,1
50000,1,2,2,25,0,0,0,0,0,21316,23038,24720,26370,29332,2375,2375,2375,3547,0,0
360000,1,1,1,39,1,-2,-2,-2,-1,0,0,0,0,691,0,0,0,691,7020,0
170000,2,2,1,49,1,2,0,0,0,153322,149027,150920,145689,33588,0,6320,5045,1000,0,1
50000,1,2,2,41,0,0,0,0,0,48152,45974,44792,18649,16260,2043,3000,14000,545,5000,0
310000,2,1,2,25,2,0,0,0,0,266270,273719,235796,188031,170898,11677,8406,6000,5074,3000,1
210000,1,1,2,31,-1,-1,-1,-1,-1,326,326,326,326,326,326,326,326,326,326,1
140000,1,2,1,37,0,0,0,0,0,90186,74504,72358,48081,45543,2805,2877,1360,1400,1026,0
150000,2,1,2,37,0,0,0,0,0,127111,106956,106129,106531,107062,3878,3794,3783,3892,4662,0
170000,1,1,1,40,-1,-1,-1,-1,-1,2000,2210,3000,2000,5000,2210,3000,2000,5000,0,1
260000,2,1,2,25,-1,2,-1,0,0,148,75,12117,9620,8690,7,12117,2,0,3054,1
170000,2,1,2,26,0,0,0,0,2,99387,102141,103972,108405,102303,5250,5100,7500,0,3900,0
310000,2,1,2,35,1,-2,-1,0,0,0,0,4488,4696,84522,0,4488,264,80000,2950,0
50000,2,3,2,23,0,0,0,0,0,34364,34212,33886,32929,34549,1861,2004,1324,3768,1,0
260000,2,1,1,35,2,2,-2,-1,0,1013,0,0,6895,3718,0,0,6895,0,0,1
1.00E+05,1,1,2,27,0,0,2,2,2,36014,39321,39145,39494,39896,4200,900,1400,900,6440,1
40000,2,2,1,25,0,0,0,0,2,40633,40311,39380,41389,40628,4300,2000,2938,0,3700,0
180000,2,1,1,46,1,2,2,2,2,82505,86302,84020,97554,95878,6000,0,15000,0,18000,0
50000,1,3,1,41,2,2,2,0,0,26184,29261,28444,28878,27655,3500,0,1100,1100,2000,0
2.00E+05,1,1,2,29,-1,-1,-1,0,-1,4810,0,726,726,495,0,726,0,495,1562,1
320000,2,2,1,53,0,0,0,0,0,33589,34608,38544,44486,52319,3000,6000,8000,10000,1900,0
220000,2,1,2,45,-1,-1,-1,-1,-1,4624,2874,1210,632,15243,2888,1216,640,15251,5472,0
180000,1,2,1,46,0,0,0,0,0,60005,41223,49108,50016,45956,3000,10000,3000,5000,15000,0
50000,2,2,2,36,0,0,0,0,0,94228,47635,42361,19574,20295,2000,1500,1000,1800,0,1
50000,2,2,2,22,0,0,0,0,0,29637,30805,30336,13378,-1022,1826,1200,268,0,31448,0
150000,2,1,2,32,0,0,0,0,0,83275,84220,77956,77682,52300,3006,3000,2000,222,11170,0
120000,2,1,1,38,-1,-1,2,-1,-1,6856,17329,2047,8568,8814,19600,0,14150,9000,17000,0
30000,1,2,2,34,0,0,0,0,0,29302,30052,29349,29476,30014,1530,1416,1142,1102,1106,0
10000,1,5,1,43,-1,0,0,0,-2,17560,9829,3604,0,0,2537,1000,0,0,0,1
380000,1,1,2,34,-2,-2,-2,-2,-2,34869,6305,5736,900,16915,6336,5766,904,16915,940,0
320000,2,1,1,38,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1
30000,2,2,2,41,0,-1,-1,0,-1,1448,1261,630,240,690,1261,630,0,840,0,0
470000,1,2,2,29,0,0,0,0,0,72830,49502,47771,52979,119678,4003,4003,8003,70003,5030,0
80000,2,3,1,40,0,0,0,0,0,75768,78069,79196,25722,26261,3500,2934,897,929,935,0
20000,1,2,1,60,-1,-1,2,0,0,8570,10651,9944,10142,9591,2620,0,500,380,1000,0
120000,1,1,1,51,0,0,2,0,0,125702,130461,131281,128594,117561,8300,4500,4260,4595,4311,0
150000,2,1,2,37,1,-2,-1,0,0,0,0,584,596,596,0,584,12,0,0,0
2.00E+05,2,2,2,43,0,0,0,0,0,180680,184436,188181,190775,196449,8155,8302,7225,10153,6987,0
20000,1,2,2,40,0,0,0,0,0,45429,47961,49562,4410,0,2819,2420,88,0,0,0
170000,2,3,1,36,0,0,0,0,0,85780,80568,79823,79335,79506,2906,3002,3000,3000,3500,0
150000,2,1,2,34,-1,-1,-2,-1,0,900,0,0,740,740,0,0,740,0,545,0
160000,1,2,2,30,-1,-1,-1,-1,-1,632,0,632,316,0,0,632,316,0,316,0
280000,2,1,2,32,-1,-1,-1,-1,-1,45536,11509,2110,2121,6789,11509,5000,2121,6789,14959,0
60000,1,1,1,42,2,0,0,0,0,39986,41036,42449,43243,48537,2000,2100,1800,6000,0,1
1.00E+05,1,3,1,44,0,0,0,0,0,39649,43608,46899,47447,48035,5000,5000,1554,1595,1686,0
360000,1,2,2,48,0,0,0,0,0,68032,63174,44536,80570,8333,4500,3000,50000,8400,8325,0
5.00E+05,2,1,1,44,-2,-1,0,0,0,71921,367979,294969,189612,128459,368199,6486,234,90,167116,0
290000,2,1,2,30,0,0,0,0,0,284239,284692,230891,232778,235004,11000,10000,8000,10000,8000,1
160000,2,1,2,31,-2,-2,-2,-1,-1,0,0,0,150,150,0,0,150,150,150,0
50000,1,2,1,47,0,0,0,0,0,22923,23264,23879,23960,24067,1400,1400,850,871,974,0
250000,2,2,1,35,0,0,0,0,0,27107,36565,39711,47523,52726,10000,10000,10000,6000,6000,0
350000,1,1,1,42,-1,-1,-1,-1,-1,3800,3138,4150,3750,1362,3138,4160,3750,2272,8210,0
