LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,default.payment.next.month
130000,2,1,2,26,-1,-1,-1,-1,-1,3597,4398,3738,1396,13069,4398,3746,1396,13069,1285,1
190000,1,2,2,33,0,0,0,0,0,176028,166336,162100,155584,157988,7063,8004,5500,7000,6000,0
210000,2,1,2,31,0,0,0,0,0,182501,187796,190227,127436,129714,9000,8000,5000,5000,5000,0
20000,2,3,1,52,0,0,2,0,0,11271,13513,12999,14456,16313,2743,0,1686,2089,0,0
20000,1,1,2,23,0,0,0,0,0,15196,16373,17590,18107,18756,1428,1500,800,936,2000,0
280000,2,2,2,30,0,0,0,0,-1,61282,53394,17644,0,5468,7900,4157,0,5468,0,0
5.00E+05,2,1,1,47,0,-1,-1,0,0,12943,4814,18365,8728,28521,5025,18571,5000,20000,0,0
230000,1,1,1,39,-1,-1,-1,-1,-1,1319,770,3465,0,486,770,3465,0,486,634,1
130000,1,2,1,31,2,2,0,0,0,131635,126548,127748,100291,93552,0,5100,4100,3392,3521,1
660000,1,1,2,40,0,0,0,0,2,142417,122122,104284,113345,111423,6500,6000,15000,0,10000,0
350000,2,3,1,50,-1,-1,-1,-1,-1,41069,312,34034,1157,8584,315,34034,1157,8584,2076,0
40000,1,3,2,24,2,0,0,0,0,39149,39189,40543,38922,39901,1658,2012,1392,1605,1668,1
50000,2,3,1,33,1,2,0,0,0,51421,50322,49741,28442,28597,0,1379,945,2002,2008,1
20000,1,2,1,43,2,0,0,0,0,18908,19232,20087,19874,19963,1700,1530,700,700,600,1
80000,2,2,1,35,0,0,-2,-2,-2,76978,0,0,0,0,0,0,0,0,0,0
50000,2,2,2,23,0,0,0,0,0,49100,47910,32842,19748,19403,15000,2024,5004,1000,1000,0
290000,1,2,1,40,0,0,0,2,0,273270,272944,286497,279146,179536,12022,24000,3,10023,10000,0
80000,2,1,2,27,-1,-1,-1,-2,-1,1152,7900,0,0,333,7900,0,0,333,0,0
230000,1,3,2,29,1,2,2,2,2,237332,236068,236702,236309,237399,8000,10000,9000,9000,0,0
30000,2,2,1,29,2,2,0,0,0,26414,27189,28235,28669,29355,1500,1800,1200,1300,1200,0
2.00E+05,2,1,2,29,-1,-1,0,0,0,2704,4959,5800,6000,0,4959,1000,200,0,0,0
50000,2,2,2,26,2,0,0,2,2,26023,27054,29458,29737,29123,1453,2857,1058,0,1216,1
50000,1,2,1,57,4,3,2,0,0,51187,50106,48608,19600,20000,0,0,392,400,0,0
2.00E+05,2,1,1,48,-2,-2,-2,-2,-2,8000,7919,4684,2992,7559,7919,4687,3051,7559,4967,0
20000,1,2,2,23,0,0,0,-1,-1,17821,19099,0,1728,1953,2000,0,1728,225,0,0
50000,2,3,2,48,0,0,0,0,0,45163,25870,28027,28007,28770,1500,3000,1200,1200,1162,0
90000,1,1,2,31,0,0,0,0,0,79397,77962,73870,58792,58402,2950,3000,2205,2300,2300,1
30000,2,2,2,23,0,0,0,0,2,22517,24148,25437,28391,27801,2000,2000,3700,0,1500,0
80000,2,2,2,30,0,0,0,0,0,79194,80575,76782,48643,49263,3077,2291,1723,1775,1802,0
20000,1,2,2,31,1,-1,2,0,0,0,184,184,5932,7725,184,0,5924,2000,2451,0
50000,2,1,2,30,0,0,0,2,2,19930,36105,29604,27764,28656,28019,13000,0,2000,1000,0
1.00E+05,1,1,2,33,0,0,0,0,0,84647,87369,88489,83639,80893,4085,3505,3479,3097,3259,0
210000,2,1,2,28,-2,-2,-2,-2,-2,18755,6122,54832,2233,0,6122,54832,2351,0,0,0
5.00E+05,2,1,1,38,1,-2,-1,-1,-2,0,0,2331,0,0,0,2331,0,0,2199,0
30000,1,2,2,25,0,0,2,0,0,7527,9705,9009,9333,9505,2700,0,1000,700,0,1
160000,2,2,1,41,2,2,2,0,0,24674,23583,22983,22983,0,2800,0,200,0,0,1
180000,2,1,2,28,-2,-2,-2,-2,-2,168318,127111,74197,-19,-19,4163,1898,0,0,142195,0
490000,2,1,1,37,-1,-1,-1,0,0,36518,77996,274442,233793,49461,77996,274526,4693,989,12207,0
50000,1,1,2,29,-1,-1,0,0,0,1162,37702,32617,28814,16478,37719,1095,2000,10000,13352,0
130000,1,1,2,27,0,0,0,0,0,87685,89577,91199,89446,91336,3300,3130,3100,3200,3100,0
50000,2,2,2,34,1,-2,-1,-1,-1,0,0,400,0,600,0,400,0,600,0,1
2.00E+05,2,1,1,58,-1,-1,-1,-1,-1,283,5361,6309,385,0,5361,6309,385,0,0,0
50000,2,1,2,27,1,2,2,0,0,42764,42459,37166,31989,33587,732,1200,1300,2651,0,1
180000,2,1,2,33,0,0,0,0,0,18205,22876,26930,29530,47722,5000,5000,3000,0,0,0
5.00E+05,2,1,2,39,-2,-2,-2,-1,0,1950,2900,1950,2739,2739,2900,2000,2739,0,170,1
210000,2,2,1,46,-1,-1,-1,0,-1,3095,2768,5536,2768,1075,2768,5536,0,1075,2006,1
20000,1,1,2,35,3,2,2,2,0,10216,10653,11371,10906,11588,900,1200,0,1000,1400,1
190000,2,2,3,29,1,-2,-1,0,0,0,0,306,306,306,0,306,0,0,0,0
140000,1,3,2,29,0,0,0,0,0,142132,142239,142140,142111,194934,5600,6150,5900,4000,4000,0
20000,1,3,2,51,-2,-2,-2,-2,-2,21353,20736,20000,0,0,0,38,0,0,0,1
420000,2,1,2,29,0,0,0,0,0,57707,133661,135987,134719,135426,86000,7000,4500,5000,4000,0
180000,2,1,2,29,-1,-1,-1,-1,-1,10447,18006,4815,10060,49264,18006,5860,11470,49613,5983,0
290000,1,2,2,28,0,0,0,0,0,240745,216678,205930,209010,213471,9323,9000,8000,8000,7800,0
190000,2,1,2,40,0,0,0,0,0,78388,80740,83134,96310,98411,3600,4000,14000,3000,10000,0
360000,1,1,1,39,-1,2,-1,-1,0,1139,264,2193,528,264,0,2193,528,0,264,0
20000,1,2,1,53,2,0,0,0,0,15794,16515,17827,17874,18288,1281,1593,640,702,612,1
260000,2,2,1,32,0,0,0,0,0,200581,196761,78041,55871,28775,7651,1765,1304,772,930,0
20000,1,3,1,55,1,2,0,0,0,19420,19810,20037,19640,15378,1000,1400,393,308,1000,0
50000,1,3,1,52,0,0,0,0,0,19438,20696,19533,17328,14614,2003,2003,1500,1000,2000,0
250000,1,1,1,55,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
30000,2,2,1,26,-2,-2,-2,-2,-2,-32,5588,1200,2444,2309,11208,1211,2444,2615,0,0
460000,1,2,2,30,0,0,0,0,0,396155,367501,257836,388058,324478,15299,7524,324097,12039,12006,0
80000,1,2,2,26,0,0,0,0,0,80233,79849,77796,30300,29922,4000,2300,1300,1300,1500,0
60000,2,2,1,35,1,2,2,2,2,5601,5366,6772,6515,7906,0,1500,0,1500,0,0
80000,2,2,2,26,0,0,0,0,0,67798,69206,70057,71886,73724,3100,2600,3000,3000,3000,0
90000,2,2,1,28,-1,0,0,0,0,10962,13244,7097,6624,6806,4512,2500,2397,2150,709,1
50000,2,2,2,34,0,0,0,0,0,27080,23365,24962,25557,26156,1500,2000,1000,1000,1000,0
50000,1,3,2,50,0,0,0,0,0,50693,43217,32829,26811,24477,1900,1677,900,1023,1024,0
360000,2,1,1,41,1,-1,-1,-2,-1,0,105,0,0,71,105,0,0,71,77,1
360000,2,1,1,49,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
230000,2,1,2,29,0,0,0,-1,0,106984,102650,0,30866,32332,4650,0,30866,2000,2000,0
240000,2,2,1,39,-1,-1,-1,0,0,9000,2831,68105,95615,123931,2831,68116,30800,30000,30000,0
110000,2,2,1,27,0,0,0,0,0,81700,84584,60379,64369,66400,5000,3000,5000,4000,3000,0
210000,2,2,1,28,-2,-2,-2,-2,-2,1412,1194,404,2851,2959,1194,404,2851,2959,782,1
3.00E+05,2,1,2,28,0,0,0,0,-1,4553,4042,2060,0,78794,1033,1000,0,78794,2900,0
2.00E+05,1,3,1,65,0,0,0,0,0,183653,167157,144218,137975,132600,7130,6611,4282,4367,4079,0
220000,1,2,2,29,0,0,0,0,0,223773,223304,221631,182629,165314,8391,9000,6901,6000,6000,0
90000,2,3,1,45,-1,0,0,-1,-1,2579,2516,0,298,659,2514,0,298,659,636,0
210000,2,2,1,44,0,0,0,0,0,89755,90031,70660,71172,71844,3600,3100,2900,2600,2700,0
5.00E+05,1,1,2,31,-2,-2,-1,0,-1,81252,14979,26089,13333,13256,16527,27243,1000,13256,106354,0
160000,2,1,2,33,-1,-1,-1,-1,-2,6113,980,11140,2659,14336,980,11490,2673,14558,16615,0
140000,2,1,1,47,0,0,0,0,0,141530,130248,133547,134346,133933,7000,7004,5013,5000,6000,0
120000,2,1,1,42,0,0,0,0,0,23331,12125,13903,13858,14777,5000,5000,5000,5000,10000,0
80000,1,2,2,46,0,0,0,0,0,44302,45311,46321,47259,48230,1192,1202,1135,1165,1326,0
240000,2,2,1,38,0,0,0,-2,-2,56331,13594,0,0,0,3004,0,0,0,0,0
170000,2,1,2,30,0,0,0,0,0,49341,49227,51798,53332,56303,4000,4000,3000,4000,4000,0
30000,1,2,2,38,0,0,0,0,0,26825,18401,18432,17844,18237,2100,2500,1000,1000,3000,0
260000,2,1,1,31,-1,0,0,0,0,8078,27201,27879,28420,39206,20000,2000,2000,12000,0,0
4.00E+05,1,1,1,34,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
5.00E+05,2,2,1,31,0,0,0,0,0,21008,17863,15219,14044,14191,1500,2000,1100,505,700,0
1.00E+05,2,1,2,32,1,-1,-1,0,-1,0,325,650,325,647,650,650,0,647,7706,1
240000,1,1,1,39,0,0,0,0,0,236229,222103,221963,181559,173023,8019,7218,10060,5893,7008,0
10000,1,3,1,53,-1,-1,0,0,0,1772,8304,9506,9702,9999,8304,1500,500,600,800,0
80000,2,2,1,36,-1,-1,-1,-1,-1,2741,9266,1125,4380,2210,9266,1125,4401,2210,1150,0
60000,1,2,2,28,0,0,0,0,0,55731,57239,57183,24564,24155,3000,1800,1000,1100,1200,0
2.00E+05,2,1,2,38,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
260000,2,2,2,41,0,0,0,0,0,252582,253302,254767,190432,105466,9725,10617,8555,4722,2146,1
260000,2,2,1,39,0,0,0,0,0,255674,260778,124739,126892,131160,10663,4520,4537,6308,6000,1
260000,1,1,2,30,-1,-1,-1,0,0,496,496,992,992,496,496,992,496,0,1488,0
3.00E+05,1,1,1,34,0,0,0,0,0,1257,6467,7655,7507,7659,5600,1500,0,300,0,0
310000,2,2,2,27,0,0,0,0,0,44834,35597,34161,38689,32710,2015,2000,5034,1045,776,0
140000,2,1,1,32,0,0,0,0,0,129371,131025,39505,40894,39229,5650,1650,2007,1500,2100,0
2.00E+05,2,2,1,50,-1,-1,-2,-1,-1,4608,-200,0,12141,0,0,200,12141,0,0,1
230000,1,2,1,39,-1,-1,-1,-1,-1,326,326,326,326,326,326,326,326,326,326,0
50000,1,2,2,27,0,0,0,0,0,91493,47836,47360,48296,47790,3749,2500,2000,2000,2069,0
180000,2,2,1,29,0,0,-1,0,0,3783,2813,839,1557,51680,2000,839,718,50824,2242,0
1.00E+05,1,1,2,26,0,0,0,0,0,50848,51118,48443,50352,51399,3000,3000,3000,3000,3000,0
80000,2,2,1,49,-1,2,-1,-1,-1,2222,390,390,390,721,0,390,390,721,0,1
350000,2,1,2,39,-1,-1,-1,-1,-1,3860,648,11094,4041,4485,648,11198,4057,4523,9407,0
140000,2,2,2,32,-1,-1,-1,-2,-1,3003,3134,0,0,1186,3134,0,0,1186,0,1
360000,2,1,2,29,0,0,0,0,0,148582,96639,82386,50887,52249,90044,10090,50006,20000,5000,0
10000,1,6,2,47,0,0,0,-1,-1,7968,8800,0,2640,695,1000,0,2640,695,738,0
130000,2,1,2,25,0,0,0,0,0,37112,34653,9522,3939,6939,2009,2000,2000,3000,900,0
320000,1,1,1,41,0,0,0,0,0,321281,324449,254293,206521,202697,27000,17000,7030,7000,10000,0
180000,2,2,1,34,1,2,2,2,2,142024,144790,146552,142714,152219,6500,5600,0,12000,0,1
180000,2,1,1,39,0,0,0,0,-2,43507,44282,23946,0,0,2000,2000,0,0,0,0
150000,2,2,1,39,2,2,0,0,0,156713,152744,150785,140166,143125,0,5694,5014,5215,11016,1
80000,1,2,2,27,1,-2,-2,-1,0,0,0,0,23374,24836,0,0,23374,2000,2000,0
70000,1,1,2,50,0,0,0,0,0,56551,34489,32669,31429,31749,1900,1630,890,1300,762,0
150000,1,2,1,66,0,0,0,0,0,190790,167666,145132,148054,146358,4942,4875,4085,4113,4074,0
480000,2,3,1,36,-1,0,0,-1,-1,19311,13368,7000,7331,7000,1368,1000,7331,7000,7000,0
50000,2,3,2,45,0,0,-2,-2,-2,51400,0,0,0,0,0,0,0,0,0,0
1.00E+05,2,1,2,28,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,281,1
50000,2,3,2,26,0,0,0,0,0,26708,25230,26999,27748,28351,2000,3000,1500,1200,1136,0
280000,1,1,2,28,0,0,0,0,0,139719,136052,118076,101457,81124,6000,4000,4000,4000,3000,0
20000,2,2,1,48,-1,2,2,-1,0,780,780,390,780,390,390,0,780,0,1735,0
30000,1,3,1,50,-1,2,0,0,-2,3607,2644,3895,0,0,0,1309,0,0,0,1
70000,2,2,1,38,0,0,0,0,0,40271,41126,21125,6197,4560,3000,7000,1100,1000,0,0
30000,1,3,2,59,0,0,0,0,0,28372,29152,29643,29593,27952,2010,1500,788,559,0,0
2.00E+05,2,1,1,64,1,-2,-2,-2,-1,0,0,0,0,67052,0,0,0,67052,0,0
210000,1,1,2,30,1,-1,2,0,0,0,855,855,855,855,855,0,0,0,599,0
210000,2,1,1,66,0,0,0,0,0,132797,135581,138644,141679,92170,4921,5317,5631,3345,3360,0
470000,1,1,1,39,-1,0,0,0,0,79455,74993,48344,45433,45853,2348,1542,1041,2019,789,0
50000,1,2,2,38,0,0,0,0,0,44620,49641,46396,19673,17083,10000,2014,1000,1000,3000,0
240000,2,2,1,37,-1,0,0,0,0,12365,92184,86507,89138,91118,90500,3000,3000,2500,2500,0
60000,1,3,1,38,2,2,2,0,0,32232,25086,24404,25212,28147,4000,0,1500,3500,2600,1
1.00E+05,2,2,1,33,2,0,0,0,0,96547,97120,95375,54612,30306,5305,3590,1118,720,50000,0
2.00E+05,2,2,2,25,0,0,0,0,0,194202,197220,130930,130775,128752,8000,4500,4532,5451,5000,0
130000,1,1,1,58,0,0,0,0,0,137671,139089,50093,49303,14772,4300,1500,0,0,1233,0
50000,1,2,2,24,0,0,0,0,0,50628,50705,50328,19542,19439,2235,1858,823,838,702,0
3.00E+05,2,1,2,34,2,2,2,2,-2,2500,2500,2500,0,0,0,0,0,0,0,1
210000,1,1,2,32,-1,2,2,-1,-1,2869,2639,0,6299,0,0,0,6299,0,197,0
70000,1,1,2,27,0,0,0,0,0,71201,70686,70195,71005,71135,2691,21000,2500,2800,2800,0
1.00E+05,2,3,2,49,-1,0,0,0,0,85438,89125,93751,13700,15474,5105,10000,2000,2000,2000,0
30000,2,2,1,25,0,0,0,0,0,18757,19419,19341,12459,12244,1475,1000,249,600,201,0
2.00E+05,1,1,2,30,-1,-1,0,0,-1,1528,4179,1689,1851,34808,4191,1200,1893,42804,10,0
360000,1,2,1,36,-1,-1,-1,-1,-1,6783,2337,10990,74562,-28,2347,11046,74934,0,5705,0
20000,1,2,2,24,3,2,0,0,0,18585,18003,19012,19100,19506,0,1612,700,714,861,1
150000,2,1,2,32,1,-1,-1,-1,0,0,258,44476,18547,32581,258,44476,18547,17000,95780,1
750000,2,1,2,28,1,-1,-1,0,0,9500,9655,401003,399493,400993,250000,401003,7990,11000,417990,0
1.00E+05,1,2,2,24,0,0,0,0,0,91572,95201,94977,97332,74637,5100,3000,3139,27000,4000,0
