loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
20000,0.288,632.41,MORTGAGE,98000.0,Source Verified,0,28.45,0,1,11,1,9952,17,w,19847.59,19847.59,600.41,600.41,152.41,448.0,0.0,632.41,0,Individual,0,283521,2,4,4,4,5.0,122524,93.0,1,3,1422,59.0,44600,1,1,3,8,25775.0,22348.0,7.3,0,66.0,61,2,2,1,15.0,2.0,0,2,3,4,5,7,6,8,3,11,0,6,100.0,0.0,1,0,325484,132476,24100,128000,N,N
3500,0.0881,110.99,RENT,25000.0,Not Verified,0,7.83,0,0,22,0,2885,42,f,3242.23,3242.23,329.54,329.54,257.77,71.77,0.0,110.99,0,Individual,0,79778,0,21,0,1,20.0,76893,130.0,0,0,2885,129.0,3000,1,0,0,1,3626.0,115.0,96.2,0,120.0,74,33,20,0,33.0,20.0,0,1,1,1,2,40,1,2,1,22,0,0,100.0,100.0,0,0,62000,79778,3000,59000,N,N
8500,0.2727,348.25,OWN,57500.0,Not Verified,0,21.0,0,2,4,0,3942,31,w,0.0,0.0,8730.86,8730.86,8500.0,230.86,0.0,8743.74,0,Individual,0,93796,1,3,2,2,4.0,89854,89.0,0,0,3942,85.0,5800,1,0,5,2,23449.0,1858.0,68.0,0,209.0,79,41,4,0,79.0,4.0,0,1,1,1,2,29,1,2,1,4,0,2,96.8,0.0,0,0,96026,93796,5800,90226,N,N
19000,0.1502,452.21,MORTGAGE,129600.0,Source Verified,0,12.28,0,0,11,0,18682,22,w,18785.61,18785.61,436.36,436.36,214.39,221.97,0.0,452.21,0,Individual,0,451629,0,2,0,1,13.0,16840,64.0,1,1,8451,69.0,25000,0,3,1,3,45163.0,0.0,100.3,0,130.0,132,9,9,1,9.0,2.0,0,4,6,4,7,8,8,12,6,11,0,1,100.0,100.0,0,0,475600,35522,15800,26500,N,N
27000,0.2339999999999999,767.37,MORTGAGE,96500.0,Source Verified,0,27.55,0,0,18,0,34303,37,w,26513.56,26513.56,1692.69,1692.69,486.44,1206.25,0.0,767.37,0,Individual,0,296989,0,9,2,7,10.0,107802,93.0,0,3,6953,84.0,53900,0,14,2,10,16499.0,18185.0,52.0,0,107.0,145,14,10,2,14.0,9.0,0,4,5,5,8,19,7,15,5,18,0,2,100.0,20.0,0,0,369926,142105,37900,115526,N,N
15000,0.1033,486.34,MORTGAGE,78000.0,Not Verified,0,22.71,0,1,24,0,6423,47,w,14282.49,14282.49,964.07,964.07,717.51,246.56,0.0,486.34,0,Individual,0,69330,3,4,1,3,4.0,62907,65.0,4,7,2149,26.0,107700,2,0,2,11,2889.0,87992.0,6.2,0,128.0,283,2,2,0,2.0,4.0,1,11,12,14,20,10,19,36,12,24,0,5,97.9,0.0,0,0,244460,69330,93800,136300,N,N
24000,0.1797,609.06,RENT,85000.0,Source Verified,0,15.67,0,1,13,1,12655,20,w,23750.34,23750.34,585.1,585.1,249.66,335.44,0.0,609.06,0,Individual,0,32837,0,3,1,3,10.0,20182,72.0,0,1,2311,56.0,30500,4,5,5,4,2526.0,7315.0,44.2,0,98.0,54,22,10,0,25.0,5.0,0,3,8,3,3,10,10,10,8,13,0,1,100.0,0.0,1,0,58617,32837,13100,28117,N,N
35000,0.1797,888.2,OWN,82000.0,Source Verified,0,25.35,0,1,19,0,17046,33,w,34266.4,34266.4,1706.52,1706.52,733.6,972.92,0.0,888.2,0,Individual,1566,49926,0,4,0,1,17.0,32880,70.0,1,4,2616,63.0,31600,2,3,1,5,2628.0,1441.0,88.3,0,227.0,140,11,11,0,20.0,2.0,0,7,13,7,7,13,15,20,13,19,0,1,100.0,71.4,0,0,78800,49926,12300,47200,N,N
5000,0.0819,157.13,RENT,35000.0,Not Verified,0,29.39,0,0,15,1,5420,31,w,4652.38,4652.38,411.98,411.98,347.62,64.36,0.0,157.13,0,Individual,0,28199,2,2,1,1,10.0,22779,60.0,3,7,3518,39.0,34200,1,1,2,8,1880.0,19443.0,20.0,0,169.0,268,4,4,0,4.0,9.0,0,2,3,7,12,5,13,26,3,15,0,4,100.0,0.0,1,0,72295,28199,24300,38095,N,N
11000,0.1614,268.32,MORTGAGE,40000.0,Source Verified,0,19.89,0,1,16,0,12666,23,w,10634.01,10634.01,795.1,795.1,365.99,429.11,0.0,268.32,0,Individual,0,183250,2,11,4,7,4.0,54284,90.0,0,1,5287,80.0,23500,1,5,2,8,11453.0,5858.0,67.1,0,80.0,121,18,4,1,18.0,0.0,0,3,4,3,4,16,4,6,4,16,0,4,100.0,66.7,0,0,205866,66950,17800,60623,N,N
10000,0.1033,324.23,MORTGAGE,82000.0,Source Verified,0,21.97,0,1,13,1,39946,23,w,9521.66,9521.66,642.72,642.72,478.34,164.38,0.0,324.23,0,Individual,310,185020,0,3,2,3,8.0,36714,76.0,1,4,8562,67.0,67000,0,5,1,7,14232.0,11992.0,52.2,0,121.0,121,7,7,2,13.0,3.0,0,4,7,5,5,12,9,9,7,13,0,3,100.0,40.0,1,0,240918,76660,25100,48189,N,N
12000,0.1447,282.16,OWN,40000.0,Not Verified,0,4.89,0,0,5,0,2124,10,w,11723.42,11723.42,554.67,554.67,276.58,278.09,0.0,282.16,0,Individual,0,3100,0,1,0,2,16.0,976,49.0,0,0,1598,40.0,5800,1,0,0,2,620.0,3151.0,39.4,0,44.0,84,30,16,0,30.0,16.0,1,2,3,2,2,3,4,7,3,5,0,0,80.0,0.0,0,0,7800,3100,5200,2000,N,N
11000,0.0756,342.48,MORTGAGE,52000.0,Source Verified,0,11.1,0,0,6,0,7540,7,w,10451.92,10451.92,680.34,680.34,548.08,132.26,0.0,342.48,0,Individual,338,20653,0,1,0,1,22.0,13113,75.0,1,2,5760,52.0,22600,2,0,2,3,3442.0,15060.0,33.4,0,22.0,85,8,8,0,8.0,10.0,0,4,4,5,6,1,5,6,4,6,0,1,100.0,20.0,0,0,40036,20653,22600,17436,N,N
20000,0.1447,470.26,RENT,77000.0,Not Verified,0,17.68,0,0,11,0,22671,17,w,19539.05,19539.05,924.44,924.44,460.95,463.49,0.0,470.26,0,Individual,0,49652,0,3,3,4,9.0,26981,86.0,0,1,9433,60.0,50800,0,2,1,5,4514.0,21371.0,49.0,0,114.0,201,21,9,2,21.0,9.0,1,4,6,5,6,6,8,9,6,11,0,3,94.1,20.0,0,0,82210,49652,41900,31410,N,N
10000,0.1474,345.39,OWN,40000.0,Not Verified,0,35.58,0,2,10,0,8657,21,w,9777.44,9777.44,329.01,329.01,222.56,106.45,0.0,345.39,0,Individual,846,77662,1,2,1,2,8.0,69005,88.0,1,2,4648,66.0,25100,0,0,3,4,7766.0,12043.0,41.8,0,141.0,98,3,3,0,3.0,3.0,0,5,5,6,6,12,8,9,5,10,0,2,95.2,0.0,0,0,101320,77662,20700,76220,N,N
25000,0.2437,985.69,RENT,140000.0,Verified,0,23.55,0,0,31,0,71195,65,w,714.32,714.32,25543.22,25543.22,24285.68,1257.54,0.0,1085.69,0,Individual,0,98626,0,2,0,2,15.0,27431,59.0,1,4,17616,59.0,120100,2,3,0,6,3181.0,17913.0,77.2,0,159.0,283,11,11,2,11.0,13.0,0,16,22,19,34,13,29,50,22,31,0,1,100.0,47.4,0,0,166512,98626,78400,46412,N,N
30000,0.1101999999999999,982.45,MORTGAGE,126000.0,Source Verified,0,20.91,0,0,17,0,41894,34,w,29293.05,29293.05,964.08,964.08,706.95,257.13,0.0,982.45,0,Individual,0,257062,3,2,0,0,29.0,21753,19.0,3,4,18335,56.0,67700,0,0,2,5,16066.0,20205.0,64.5,0,135.0,197,2,2,3,4.0,7.0,0,5,9,7,10,12,14,19,9,17,0,4,97.1,14.3,0,0,311092,63647,56900,48796,N,N
25000,0.1614,880.66,RENT,82600.0,Verified,0,23.38,0,0,17,0,33228,20,w,23430.44,23430.44,2619.56,2619.56,1569.56,1050.0,0.0,880.66,0,Individual,0,68488,1,2,1,1,9.0,35260,84.0,2,3,7257,83.0,40600,0,0,3,4,4029.0,2997.0,87.4,0,160.0,105,3,3,0,3.0,9.0,0,9,13,10,11,3,15,17,13,17,0,3,100.0,70.0,0,0,82564,68488,23800,41964,N,N
24000,0.1447,564.31,MORTGAGE,130000.0,Source Verified,0,19.22,0,0,12,0,37714,34,w,23446.86,23446.86,1128.63,1128.63,553.14,575.49,0.0,564.31,0,Individual,0,77521,0,3,0,2,18.0,39807,75.0,3,4,20213,65.0,62200,1,0,1,6,7047.0,23786.0,61.3,0,172.0,261,9,9,0,9.0,9.0,0,3,3,8,10,23,9,11,3,12,0,3,96.4,28.6,0,0,124300,77521,61500,62100,N,N
8000,0.1072,260.86,RENT,156000.0,Not Verified,0,16.56,0,0,13,0,15588,15,w,7426.73,7426.73,773.05,773.05,573.27,199.78,0.0,260.86,0,Individual,1090,73420,1,4,1,3,2.0,57832,81.0,0,3,4651,78.0,23000,6,0,6,6,5648.0,2346.0,81.2,0,126.0,59,13,2,0,13.0,2.0,0,7,9,7,7,6,9,9,9,13,0,1,93.3,57.1,0,0,94564,73420,12500,71564,N,N
12000,0.0756,373.61,RENT,58000.0,Source Verified,0,15.21,0,0,8,0,11056,19,w,11701.99,11701.99,368.57,368.57,298.01,70.56,0.0,373.61,0,Individual,0,28751,0,2,1,2,7.0,17695,89.0,0,1,482,52.0,35000,0,6,0,3,3594.0,15818.0,3.0,0,77.0,154,24,7,0,30.0,19.0,0,1,2,3,4,10,6,9,2,8,0,1,100.0,0.0,0,0,54924,28751,16300,19924,N,N
15000,0.1356,509.47,RENT,70000.0,Not Verified,0,4.61,2,0,5,0,22,21,f,13968.52,13968.52,1517.11,1517.11,1031.48,485.63,0.0,509.47,0,Individual,0,24472,0,1,0,0,88.0,24450,87.0,0,3,13,79.0,2600,0,0,0,3,4894.0,1678.0,1.3,0,148.0,147,13,13,0,13.0,17.0,3,2,2,2,5,11,4,10,2,5,0,0,68.4,0.0,0,0,30828,24472,1700,28228,N,N
20000,0.1356,679.29,MORTGAGE,78000.0,Not Verified,0,14.66,4,0,19,0,13445,37,w,19088.29,19088.29,1396.25,1396.25,911.71,484.54,0.0,679.29,0,Individual,0,31831,3,2,1,1,2.0,18386,57.0,2,6,4931,30.0,74100,1,2,1,7,1675.0,46214.0,18.1,0,34.0,451,5,2,0,5.0,11.0,0,5,9,8,10,2,17,35,9,19,0,3,75.7,37.5,0,0,106550,31831,56400,32450,N,N
33000,0.0646,1010.82,RENT,94000.0,Not Verified,0,22.8,0,0,19,0,51616,50,w,31329.17,31329.17,2009.8,2009.8,1670.83,338.97,0.0,1010.82,0,Individual,0,85996,0,9,0,0,41.0,34380,50.0,0,1,13891,51.0,101500,0,3,1,1,4526.0,49884.0,50.9,0,132.0,92,22,22,1,22.0,12.0,0,8,8,10,16,25,10,22,8,19,0,0,100.0,30.0,0,0,169986,85996,101500,68486,N,N
10000,0.2089,269.92,OWN,85000.0,Not Verified,0,8.89,0,2,11,0,13438,41,w,9707.46,9707.46,798.15,798.15,292.54,505.61,0.0,269.92,0,Joint App,0,15048,4,1,0,1,16.0,1610,40.0,8,10,7493,53.0,24600,0,0,6,11,1505.0,6938.0,61.9,0,379.0,82,4,4,0,4.0,4.0,4,4,9,5,12,10,10,31,9,11,0,8,90.2,0.0,0,0,28600,15048,18200,4000,N,N
20000,0.1356,679.29,MORTGAGE,150000.0,Not Verified,0,13.2,1,1,8,0,23122,26,w,19088.3,19088.3,1343.51,1343.51,911.7,431.81,0.0,679.29,0,Individual,0,99874,1,1,0,1,17.0,20307,61.0,1,2,11630,54.0,47800,1,0,1,3,12484.0,15935.0,58.9,0,171.0,295,2,2,2,2.0,2.0,0,4,5,4,9,10,6,14,5,8,0,1,96.2,25.0,0,0,173503,43429,38800,33175,N,N
12000,0.1474,414.46,MORTGAGE,149000.0,Not Verified,0,10.58,0,0,7,0,10269,18,w,11732.94,11732.94,404.63,404.63,267.06,137.57,0.0,414.46,0,Individual,0,562081,1,3,2,3,7.0,71977,94.0,2,2,8551,87.0,18200,2,4,2,5,80297.0,3931.0,72.3,0,108.0,154,3,3,4,3.0,7.0,0,2,2,2,3,8,3,6,2,7,0,4,88.9,50.0,0,0,614853,82246,14200,76653,N,N
26000,0.1298,875.8,MORTGAGE,170000.0,Source Verified,0,22.84,1,0,17,0,17024,36,w,24196.94,24196.94,2608.65,2608.65,1803.06,805.59,0.0,875.8,0,Joint App,115,212804,1,7,3,4,10.0,125854,74.0,3,3,2938,71.0,27000,4,1,8,7,12518.0,3339.0,70.2,0,185.0,170,5,5,2,25.0,9.0,0,5,9,5,5,23,9,11,9,17,0,6,94.4,60.0,0,0,276062,142878,11200,159062,N,N
32000,0.0819,1005.58,RENT,289000.0,Not Verified,0,12.34,0,0,16,0,24193,20,w,31212.82,31212.82,976.46,976.46,787.18,189.28,0.0,1005.58,0,Individual,0,45423,1,3,0,2,21.0,17499,25.0,2,3,6730,34.0,50100,2,0,2,5,3245.0,10243.0,57.0,0,36.0,147,5,5,0,32.0,8.0,0,3,4,6,7,3,12,15,4,16,0,2,100.0,0.0,0,0,133719,45423,23800,69669,N,N
36000,0.1356,1222.72,MORTGAGE,62000.0,Verified,0,21.14,0,0,11,0,10920,13,w,34358.94,34358.94,2445.44,2445.44,1641.06,804.38,0.0,1222.72,0,Joint App,236,191182,0,5,2,3,9.0,31875,69.0,0,3,7784,67.0,17600,0,1,1,7,17380.0,2216.0,77.8,0,79.0,42,14,9,1,23.0,9.0,0,1,3,2,2,7,5,5,3,11,0,2,100.0,50.0,0,0,216664,42795,10000,46289,N,N
25000,0.0819,785.61,RENT,150000.0,Not Verified,0,2.76,1,1,3,0,91,13,w,24385.01,24385.01,774.23,774.23,614.99,159.25,0.0,785.61,0,Individual,0,212712,0,1,0,0,25.0,5272,34.0,0,0,91,23.0,8000,0,0,1,0,70904.0,7909.0,1.1,0,152.0,203,38,25,5,38.0,0.0,2,1,1,1,3,4,1,4,1,3,1,0,66.7,0.0,0,0,256376,5363,8000,15604,N,N
6000,0.0819,188.55,RENT,80000.0,Not Verified,0,36.44,0,2,31,0,8728,53,w,5852.4,5852.4,185.82,185.82,147.6,38.22,0.0,188.55,0,Individual,0,166300,1,7,2,5,6.0,157572,55.0,2,7,4095,33.0,64000,5,0,4,12,7919.0,50497.0,13.5,0,175.0,174,8,6,0,8.0,6.0,0,7,8,12,14,36,14,17,8,31,0,4,100.0,8.3,0,0,228940,166300,58400,164940,N,N
13000,0.1797,469.79,RENT,82000.0,Verified,0,6.61,0,0,5,0,933,10,w,12724.89,12724.89,443.83,443.83,275.11,168.72,0.0,469.79,0,Individual,483,15625,1,1,1,2,8.0,12549,91.0,1,2,794,64.0,6500,1,0,1,5,3125.0,5567.0,14.4,0,72.0,114,8,3,0,8.0,8.0,1,2,2,3,6,3,3,6,2,5,0,3,90.0,0.0,0,0,24578,15625,6500,13733,N,N
30000,0.0819,942.73,MORTGAGE,101000.0,Verified,0,21.93,0,0,9,0,8679,24,w,29262.02,29262.02,929.08,929.08,737.98,191.1,0.0,942.73,0,Joint App,0,222787,0,3,1,1,8.0,27502,58.0,1,1,5039,51.0,24100,0,7,1,3,24754.0,5763.0,47.6,0,142.0,225,11,8,4,11.0,9.0,0,2,3,2,4,12,5,7,3,9,0,3,95.8,50.0,0,0,260526,36181,11000,47426,N,N
23600,0.25,692.7,MORTGAGE,90000.0,Source Verified,0,21.16,0,2,20,0,28414,30,w,23398.97,23398.97,627.14,627.14,201.03,426.11,0.0,692.7,0,Individual,0,351250,1,3,1,1,12.0,40469,59.0,4,4,12043,28.0,102269,0,0,4,5,17562.0,8222.0,32.0,0,118.0,220,4,4,1,7.0,1.0,0,9,16,12,12,6,16,23,9,20,0,5,100.0,11.1,0,0,475040,68883,74000,68386,N,N
5000,0.1502,173.38,MORTGAGE,52000.0,Not Verified,0,31.28,0,0,12,1,3861,24,f,4663.43,4640.12,515.97,513.39,336.57,179.4,0.0,173.38,0,Individual,534,158628,0,4,3,4,8.0,39296,84.0,1,2,499,72.0,13000,9,0,9,7,13219.0,5837.0,17.8,0,70.0,490,11,8,1,11.0,7.0,0,4,6,5,5,15,7,8,6,12,0,4,100.0,0.0,1,0,181171,43157,7100,47089,N,N
6500,0.1502,225.39,RENT,46000.0,Source Verified,0,20.82,0,4,12,0,4320,31,w,0.0,0.0,6540.683056,6540.68,6500.0,40.68,0.0,6546.1,0,Individual,0,45533,3,3,3,4,4.0,41213,97.0,1,3,3538,56.0,38800,4,2,5,7,3794.0,28180.0,13.3,0,114.0,96,12,4,1,12.0,0.0,0,3,3,5,6,16,9,14,3,12,0,4,100.0,0.0,0,0,81478,45533,32500,42678,N,N
40000,0.0646,1225.24,OWN,62500.0,Not Verified,0,18.63,0,0,11,0,35592,20,w,37974.75,37974.75,2436.12,2436.12,2025.25,410.87,0.0,1225.24,0,Individual,0,37392,0,2,0,0,42.0,1800,30.0,0,1,7390,74.0,44200,0,2,0,1,3399.0,4071.0,73.6,0,279.0,265,15,15,0,15.0,15.0,4,4,8,4,6,9,9,11,8,11,0,0,68.4,75.0,0,0,50310,37392,15400,6110,N,N
7500,0.0881,237.84,RENT,50000.0,Not Verified,0,25.01,0,0,7,0,8179,8,w,7133.1,7133.1,472.01,472.01,366.9,105.11,0.0,237.84,0,Individual,0,52536,0,2,0,1,17.0,44357,44.0,0,1,4348,53.0,12400,0,4,0,2,8756.0,2640.0,62.3,0,78.0,62,13,13,0,13.0,17.0,0,2,3,2,2,3,5,5,3,7,0,0,87.5,50.0,0,0,72282,52536,7000,59882,N,N
13000,0.1101999999999999,282.79,MORTGAGE,80000.0,Not Verified,0,20.49,0,0,17,0,25901,33,w,12780.88,12780.88,274.83,274.83,219.12,55.71,0.0,282.79,0,Individual,0,333680,2,2,1,2,8.0,26745,72.0,2,4,13681,38.0,102600,1,2,0,6,19628.0,60398.0,29.7,0,101.0,199,4,4,6,4.0,20.0,1,5,6,9,12,7,14,20,6,17,0,3,97.0,0.0,0,0,445019,52646,85900,37137,N,N
8000,0.1131,263.09,OWN,33000.0,Verified,0,33.85,0,1,15,0,11138,34,w,7622.85,7622.85,521.15,521.15,377.15,144.0,0.0,263.09,0,Individual,1534,25498,2,2,0,1,18.0,14360,53.0,5,7,3075,42.0,34300,1,2,4,8,1700.0,7921.0,53.1,0,170.0,145,3,3,1,3.0,4.0,1,4,8,5,7,14,13,19,8,15,0,5,94.1,0.0,0,0,61503,25498,16900,27203,N,N
35000,0.1502,1213.63,MORTGAGE,102000.0,Verified,1,5.85,0,1,14,0,15645,27,w,33443.08,33443.08,2398.05,2398.05,1556.92,841.13,0.0,1213.63,0,Individual,0,609770,8,1,1,1,5.0,7077,94.0,6,6,3010,64.0,28300,0,6,3,8,43555.0,9688.0,43.3,0,115.0,139,5,5,1,5.0,3.0,1,4,8,5,6,6,11,19,8,14,0,8,96.0,80.0,0,0,624932,22722,17100,7500,N,N
16000,0.2089,431.87,MORTGAGE,115000.0,Source Verified,0,26.33,0,0,16,0,33410,31,w,15690.65,15690.65,873.03,873.03,309.35,563.68,0.0,431.87,0,Individual,0,387022,0,4,1,5,12.0,86192,80.0,0,5,4303,85.0,37400,0,12,0,11,24189.0,1217.0,91.3,0,147.0,297,15,12,2,15.0,16.0,0,7,10,7,7,17,10,11,10,16,0,1,93.3,100.0,0,0,454084,121653,14000,113642,N,N
40000,0.0646,1225.24,MORTGAGE,132000.0,Verified,0,19.7,1,0,21,0,34310,43,w,36953.94,36953.94,3647.01,3647.01,3046.06,600.95,0.0,1225.24,0,Joint App,2713,315779,0,2,0,0,47.0,17614,26.0,0,0,5818,43.0,53000,0,0,1,0,15789.0,6674.0,82.1,0,192.0,431,36,36,2,36.0,1.0,1,10,15,11,21,7,18,33,15,21,1,0,93.0,60.0,0,0,424885,51924,37300,67009,N,N
8800,0.1033,285.32,MORTGAGE,65000.0,Not Verified,0,9.77,0,0,6,0,7312,6,w,5250.8,5250.8,3686.85,3686.85,3549.2,137.65,0.0,1285.32,0,Individual,0,158547,0,1,0,0,37.0,9990,51.0,0,3,3522,46.0,18500,2,0,0,4,26425.0,1778.0,66.5,0,37.0,44,16,16,1,16.0,16.0,0,1,3,2,2,1,4,4,3,6,0,0,100.0,0.0,0,0,183023,17302,5300,19470,N,N
12000,0.1502,416.11,OWN,45000.0,Source Verified,0,39.23,0,0,10,0,2548,24,f,11464.85,11464.85,822.21,822.21,535.15,287.06,0.0,416.11,0,Individual,0,44439,2,6,2,4,6.0,41891,60.0,1,1,813,57.0,7200,0,7,0,5,4444.0,287.0,73.9,0,121.0,215,3,3,2,3.0,18.0,3,1,2,1,2,11,4,11,2,10,0,3,79.2,0.0,0,0,77552,44439,1100,70352,N,N
